Award Category,Award Winner
Men's Champion, Vineet Gupta
Men's 1st Runner Up, Dipanjan Mitra
Men's 2nd Runner Up, Shubham HAZRA
Boy's Winner, Sneh Mitra & Arin Neogi
Boy's Runner Up, Ishmeet Singh
Rising Star, Atulya Priyadarshi / Shlok Mitra / Vivaan Chandra
Tennis Excellence & Fair Play, Vikrant Chopra / Akhilesh Verma / Prakash Panda
Best Tennis Debut, Tarun Sharma
Most Aces, Kamal Agarwal
